face, ghostCell, u_BI, v_BI, cx, cy, u_mirror, v_mirror, x_mirror, y_mirror
201814, 100571, 0.58831, -0.0440476, 0.5553, 0.0490133, 0.58831, -0.0440456, 0.555601, 0.0530266
201816, 100572, 0.588138, -0.045177, 0.56525, 0.0482562, 0.588138, -0.0451753, 0.5655, 0.0515125
201818, 100573, 0.587966, -0.0462769, 0.575195, 0.0474811, 0.587966, -0.0462756, 0.575391, 0.0499621
201820, 100574, 0.587794, -0.0473486, 0.585136, 0.0466883, 0.587794, -0.0473477, 0.585272, 0.0483765
201822, 100575, 0.587623, -0.0483934, 0.595072, 0.0458782, 0.587623, -0.0483929, 0.595145, 0.0467565
201823, 100576, 0.587452, -0.0494124, 0.605004, 0.0450514, 0.587452, -0.0494124, 0.605009, 0.0451029
201824, 100576, 0.587452, -0.0494124, 0.605004, 0.0450514, 0.587452, -0.0494124, 0.605009, 0.0451029
202624, 100977, 0.58804, 0.0458082, 0.174947, 0.0556819, 0.58804, 0.0458079, 0.174894, 0.0563637
202627, 100977, 0.58804, 0.0458082, 0.174947, 0.0556819, 0.58804, 0.0458079, 0.174894, 0.0563637
202629, 100978, 0.588716, 0.0412589, 0.184901, 0.0564148, 0.588716, 0.0412582, 0.184802, 0.0578297
202631, 100979, 0.589437, 0.0357703, 0.194875, 0.0570679, 0.589437, 0.0357694, 0.194749, 0.0591358
202633, 100980, 0.589923, 0.0315325, 0.204859, 0.0576446, 0.589923, 0.0315316, 0.204717, 0.0602892
202635, 100981, 0.590334, 0.0274267, 0.214854, 0.0581498, 0.590334, 0.0274257, 0.214707, 0.0612996
202637, 100982, 0.590677, 0.0234491, 0.224858, 0.0585872, 0.590677, 0.0234481, 0.224715, 0.0621744
202639, 100983, 0.590893, 0.0205481, 0.234862, 0.0589596, 0.590893, 0.0205472, 0.234725, 0.0629193
202641, 100984, 0.591131, 0.0167873, 0.244879, 0.0592707, 0.591131, 0.0167865, 0.244757, 0.0635414
202643, 100985, 0.591316, 0.0131463, 0.254899, 0.0595235, 0.591316, 0.0131456, 0.254799, 0.064047
202645, 100986, 0.591451, 0.00962231, 0.264923, 0.059721, 0.591451, 0.00962179, 0.264846, 0.0644421
202647, 100987, 0.591524, 0.00705456, 0.274942, 0.0598644, 0.591524, 0.00705416, 0.274884, 0.0647288
202649, 100988, 0.591584, 0.00372919, 0.284969, 0.0599578, 0.591584, 0.00372898, 0.284937, 0.0649155
202651, 100989, 0.591605, 0.00130757, 0.294989, 0.0600019, 0.591605, 0.00130749, 0.294978, 0.0650039
202653, 100990, 0.591602, -0.00182663, 0.305015, 0.0600003, 0.591602, -0.00182653, 0.305031, 0.0650006
202655, 100991, 0.591579, -0.00410759, 0.315034, 0.0599533, 0.591579, -0.00410736, 0.315069, 0.0649065
202657, 100992, 0.59154, -0.00632991, 0.325052, 0.059864, 0.59154, -0.00632956, 0.325104, 0.0647281
202659, 100993, 0.591465, -0.00920347, 0.335074, 0.059734, 0.591465, -0.00920297, 0.335147, 0.064468
202661, 100994, 0.591392, -0.0112928, 0.345087, 0.059564, 0.591392, -0.0112922, 0.345174, 0.0641281
202663, 100995, 0.591308, -0.0133267, 0.355098, 0.0593566, 0.591308, -0.013326, 0.355196, 0.0637132
202665, 100996, 0.591212, -0.0153063, 0.365106, 0.059113, 0.591212, -0.0153055, 0.365213, 0.0632259
202667, 100997, 0.591106, -0.0172325, 0.375112, 0.0588345, 0.591106, -0.0172317, 0.375224, 0.062669
202669, 100998, 0.59095, -0.0197196, 0.385118, 0.0585223, 0.59095, -0.0197188, 0.385235, 0.0620445
202671, 100999, 0.590824, -0.0215253, 0.395116, 0.0581775, 0.590824, -0.0215246, 0.395232, 0.061355
202673, 101000, 0.59069, -0.0232813, 0.40511, 0.0578016, 0.59069, -0.0232805, 0.405221, 0.0606032
202675, 101001, 0.590551, -0.0249884, 0.415101, 0.0573957, 0.590551, -0.0249877, 0.415203, 0.0597914
202677, 101002, 0.590405, -0.026648, 0.425089, 0.0569608, 0.590405, -0.0266474, 0.425177, 0.0589216
202679, 101003, 0.590255, -0.028261, 0.435072, 0.056498, 0.590255, -0.0282605, 0.435143, 0.0579959
202681, 101004, 0.5901, -0.0298287, 0.445051, 0.0560081, 0.5901, -0.0298283, 0.445102, 0.0570162
202682, 101005, 0.589942, -0.0313522, 0.455026, 0.0554922, 0.589942, -0.031352, 0.455052, 0.0559844
202683, 101005, 0.589942, -0.0313522, 0.455026, 0.0554922, 0.589942, -0.031352, 0.455052, 0.0559844
